Rank,City,Crime Index,Safety Index,Country,Continent_x,Population_2022,Area_km2,Density_per_km2,Growth Rate,GDP_2022,GDP_2023,Continent_y,City_Country,Latitude,Longitude,School_Enrollment_2022,Unemployment_Rate_2022,Income_per_Capita_2021
315,Surat,35.55,64.45,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Surat, India",21.2094892,72.8317058,32.6703071594238,4.822,1907.12903981633
316,Jaipur,35.52,64.48,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Jaipur, India",26.9154576,75.8189817,32.6703071594238,4.822,1907.12903981633
317,Porto,35.35,64.65,Portugal,Europe,10270865.0,92090.0,111.5307,0.9981,256898675068.927,289114289663.542,Europe,"Porto, Portugal",41.1494512,-8.6107884,75.557243347168,6.011,19318.4675574803
318,Budapest,35.06,64.94,Hungary,Europe,9967308.0,93028.0,107.1431,1.0265,177006128624.627,212388906458.724,Europe,"Budapest, Hungary",47.4979,19.0402,58.0702514648438,3.609,14799.3838039183
319,Brisbane,35.05,64.95,Australia,Oceania,26177413.0,7692024.0,3.4032,1.0099,1690858246994.43,1728057316695.61,Oceania,"Brisbane, Australia",-27.4689682,153.0234991,106.240760803223,3.728,45710.8904505974
322,Puerto Vallarta,34.43,65.57,Mexico,North America,127504125.0,1964375.0,64.9082,1.0063,1464312692331.58,1789114434843.46,Americas,"Puerto Vallarta, Mexico",20.6407176,-105.220306,46.4061317443848,3.256,7443.53351798716
323,Navi Mumbai,34.33,65.67,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Navi Mumbai, India",19.0308262,73.0198537,32.6703071594238,4.822,1907.12903981633
324,Kingston,34.17,65.83,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Kingston, Canada",44.2312,-76.486,77.3137588500977,5.279,41986.2328595884
325,Dusseldorf,34.06,65.94,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Dusseldorf, Germany",51.2254018,6.7763137,77.3656997680664,3.12,42982.481891127
326,Oslo,34.06,65.94,Norway,Europe,5434319.0,323802.0,16.7828,1.0058,593726965415.619,485310823603.662,Europe,"Oslo, Norway",59.9133301,10.7389701,97.6419830322266,3.231,69953.0192338809
328,Lund,33.96,66.04,Sweden,Europe,10549347.0,450295.0,23.4276,1.0079,579895717343.956,584960475767.32,Europe,"Lund, Sweden",55.7029296,13.1929449,83.8976135253906,7.392,51830.6266145746
329,Tashkent,33.86,66.14,Uzbekistan,Asia,34627652.0,447400.0,77.3975,1.016,90095926567.4359,101591769702.343,Asia,"Tashkent, Uzbekistan",41.3123363,69.2787079,31.2952404022217,4.49,1457.84675888408
330,Sydney,33.81,66.19,Australia,Oceania,26177413.0,7692024.0,3.4032,1.0099,1690858246994.43,1728057316695.61,Oceania,"Sydney, Australia",-33.8688,151.2093,106.240760803223,3.728,45710.8904505974
331,Aguascalientes,33.74,66.26,Mexico,North America,127504125.0,1964375.0,64.9082,1.0063,1464312692331.58,1789114434843.46,Americas,"Aguascalientes, Mexico",21.880487,-102.2967195,46.4061317443848,3.256,7443.53351798716
333,Iasi,33.67,66.33,Romania,Europe,19659267.0,238391.0,82.4665,1.0171,296354358293.475,350775856415.189,Europe,"Iasi, Romania",47.1615598,27.5837814,58.2390403747559,5.614,12194.3636281641
334,Split,33.62,66.38,Croatia,Europe,4030358.0,56594.0,71.2153,0.9927,71198635101.9514,84393795502.4421,Europe,"Split, Croatia",43.5116383,16.4399659,80.7626724243164,6.96,14553.4842135772
335,Nuremberg,33.48,66.52,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Nuremberg, Germany",49.453872,11.077298,77.3656997680664,3.12,42982.481891127
336,Shanghai,33.41,66.59,China,Asia,1425887337.0,9706961.0,146.8933,1.0,17881782683707.3,17794783039552.0,Asia,"Shanghai, China",31.2304,121.4737,71.9815521240234,4.98,9015.34800413676
337,Guelph,33.17,66.83,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Guelph, Canada",43.5460516,-80.2493276,77.3137588500977,5.279,41986.2328595884
338,Astana (Nur-Sultan),33.13,66.87,Kazakhstan,Asia,19397998.0,2724900.0,7.1188,1.0105,225496328925.494,262641892078.524,Asia,"Astana (Nur-Sultan), Kazakhstan",51.1282205,71.4306682,58.9427337646484,4.86,6362.63178237645
340,Amsterdam,33.06,66.94,Netherlands,Europe,17564014.0,41850.0,419.6897,1.0036,1046540797548.64,1154361305398.06,Europe,"Amsterdam, Netherlands",52.3676,4.9041,87.36347198486331,3.526,46419.7071212119
341,Vadodara,32.92,67.08,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Vadodara, India",22.2973142,73.1942567,32.6703071594238,4.822,1907.12903981633
343,Beijing,32.44,67.56,China,Asia,1425887337.0,9706961.0,146.8933,1.0,17881782683707.3,17794783039552.0,Asia,"Beijing, China",39.9042,116.4074,71.9815521240234,4.98,9015.34800413676
344,Ahmedabad,32.4,67.6,India,Asia,1417173173.0,3287590.0,431.0675,1.0068,3353470496886.33,3567551674623.01,Asia,"Ahmedabad, India",23.0215374,72.5800568,32.6703071594238,4.822,1907.12903981633
345,Osaka,32.35,67.65,Japan,Asia,123951692.0,377930.0,327.9753,0.9947,4256410760723.75,4204494802431.55,Asia,"Osaka, Japan",34.6937,135.5023,64.6288299560547,2.6,30520.0704825716
346,Palma de Mallorca,32.28,67.72,Spain,Europe,47558630.0,505992.0,93.9909,1.0015,1446498147749.03,1620090734956.89,Europe,"Palma de Mallorca, Spain",39.58125245,2.7092683401782343,94.5131072998047,12.917,25118.4531381716
347,Hobart,32.18,67.82,Australia,Oceania,26177413.0,7692024.0,3.4032,1.0099,1690858246994.43,1728057316695.61,Oceania,"Hobart, Australia",-42.8825088,147.3281233,106.240760803223,3.728,45710.8904505974
348,Limassol,32.05,67.95,Cyprus,Europe,1251488.0,9251.0,135.2814,1.0059,30976176886.8521,33886930712.3394,Asia,"Limassol, Cyprus",34.6852901,33.0332657,98.3045806884766,6.806,24687.482421875
349,Shenzhen,31.86,68.14,China,Asia,1425887337.0,9706961.0,146.8933,1.0,17881782683707.3,17794783039552.0,Asia,"Shenzhen, China",22.5445741,114.0545429,71.9815521240234,4.98,9015.34800413676
350,Seville (Sevilla),31.59,68.41,Spain,Europe,47558630.0,505992.0,93.9909,1.0015,1446498147749.03,1620090734956.89,Europe,"Seville (Sevilla), Spain",37.3886303,-5.9953403,94.5131072998047,12.917,25118.4531381716
351,Freiburg im Breisgau,31.57,68.43,Germany,Europe,83369843.0,357114.0,233.4544,0.9995,4163596357879.39,4525703903627.53,Europe,"Freiburg im Breisgau, Germany",47.9960901,7.8494005,77.3656997680664,3.12,42982.481891127
352,Gdansk,31.41,68.59,Poland,Europe,39857145.0,312679.0,127.4698,1.0404,695607470875.276,809200697797.088,Europe,"Gdansk, Poland",54.3482907,18.6540233,75.2911071777344,2.811,15410.7923025682
354,Montreal,30.99,69.01,Canada,North America,38454327.0,9984670.0,3.8513,1.0078,2161483369422.01,2142470914401.36,Americas,"Montreal, Canada",45.5031824,-73.5698065,77.3137588500977,5.279,41986.2328595884
